;CAL;DRHO;DTC;GR;NPHI;PE;RHOB;RT;SP;DEPT
81;16.8911;0.05004;129.1;61.0713;0.35283;3.164;2.2624;1.251;-45.4375;5833.3444
82;16.8911;0.05004;129.1;61.0713;0.35283;3.164;2.2624;1.251;-45.4375;5833.4968
83;16.8911;0.05004;129.1;61.0713;0.35283;3.164;2.2624;1.251;-45.4375;5833.6492
84;17.375;0.04292;128.6;60.1763;0.36096;3.1134;2.2661;1.2559;-45.4062;5833.8016
85;17.375;0.04292;128.6;60.1763;0.36096;3.1134;2.2661;1.2559;-45.4062;5833.954
86;17.375;0.04292;128.6;60.1763;0.36096;3.1134;2.2661;1.2559;-45.4062;5834.1064
87;17.3589;0.03587;127.1;60.5879;0.35565;3.2032;2.2753;1.2471;-44.4062;5834.2588
88;17.3589;0.03587;127.1;60.5879;0.35565;3.2032;2.2753;1.2471;-44.4062;5834.4112
89;17.3589;0.03587;127.1;60.5879;0.35565;3.2032;2.2753;1.2471;-44.4062;5834.5636
90;17.3589;0.03587;127.1;60.5879;0.35565;3.2032;2.2753;1.2471;-44.4062;5834.716
91;16.7041;0.03155;127.8;61.4138;0.36462;3.2989;2.2991;1.2227;-44.75;5834.8684
92;16.7041;0.03155;127.8;61.4138;0.36462;3.2989;2.2991;1.2227;-44.75;5835.0208
93;16.7041;0.03155;127.8;61.4138;0.36462;3.2989;2.2991;1.2227;-44.75;5835.1732
94;17.3447;0.02512;119.2;61.4981;0.36078;3.3653;2.3184;1.1807;-45.0625;5835.3256
95;17.3447;0.02512;119.2;61.4981;0.36078;3.3653;2.3184;1.1807;-45.0625;5835.478
96;17.3447;0.02512;119.2;61.4981;0.36078;3.3653;2.3184;1.1807;-45.0625;5835.6304
97;18.2183;0.02596;122.4;60.3766;0.33716;3.3828;2.3024;1.1318;-45.4688;5835.7828
98;18.2183;0.02596;122.4;60.3766;0.33716;3.3828;2.3024;1.1318;-45.4688;5835.9352
99;18.2183;0.02596;122.4;60.3766;0.33716;3.3828;2.3024;1.1318;-45.4688;5836.0876
100;18.2183;0.02596;122.4;60.3766;0.33716;3.3828;2.3024;1.1318;-45.4688;5836.24
101;17.5466;0.01455;130.8;60.2305;0.33366;3.3574;2.244;1.1055;-44.3125;5836.3924
102;17.5466;0.01455;130.8;60.2305;0.33366;3.3574;2.244;1.1055;-44.3125;5836.5448
103;17.5466;0.01455;130.8;60.2305;0.33366;3.3574;2.244;1.1055;-44.3125;5836.6972
104;17.3596;0.0155;131.9;59.1505;0.34201;3.3201;2.1917;1.1016;-44.875;5836.8496
105;17.3596;0.0155;131.9;59.1505;0.34201;3.3201;2.1917;1.1016;-44.875;5837.002
106;17.3596;0.0155;131.9;59.1505;0.34201;3.3201;2.1917;1.1016;-44.875;5837.1544
107;17.688;0.02834;132.4;59.0898;0.36082;3.24;2.2075;1.1035;-44.625;5837.3068
108;17.688;0.02834;132.4;59.0898;0.36082;3.24;2.2075;1.1035;-44.625;5837.4592
109;17.688;0.02834;132.4;59.0898;0.36082;3.24;2.2075;1.1035;-44.625;5837.6116
110;18.1255;0.03999;130.8;58.1689;0.35461;3.127;2.2387;1.1035;-45.1562;5837.764
111;18.1255;0.03999;130.8;58.1689;0.35461;3.127;2.2387;1.1035;-45.1562;5837.9164
112;18.1255;0.03999;130.8;58.1689;0.35461;3.127;2.2387;1.1035;-45.1562;5838.0688
113;18.1255;0.03999;130.8;58.1689;0.35461;3.127;2.2387;1.1035;-45.1562;5838.2212
114;18.5474;0.04867;129.4;58.6455;0.34007;3.1719;2.2939;1.1025;-44.1562;5838.3736
115;18.5474;0.04867;129.4;58.6455;0.34007;3.1719;2.2939;1.1025;-44.1562;5838.526
116;18.5474;0.04867;129.4;58.6455;0.34007;3.1719;2.2939;1.1025;-44.1562;5838.6784
117;19.0935;0.05747;118.5;59.9434;0.33121;3.2209;2.312;1.1006;-45.7188;5838.8308
118;19.0935;0.05747;118.5;59.9434;0.33121;3.2209;2.312;1.1006;-45.7188;5838.9832
119;19.0935;0.05747;118.5;59.9434;0.33121;3.2209;2.312;1.1006;-45.7188;5839.1356
120;18.8584;0.05005;119.9;61.9393;0.32108;3.3261;2.2982;1.1006;-45.1875;5839.288
121;18.8584;0.05005;119.9;61.9393;0.32108;3.3261;2.2982;1.1006;-45.1875;5839.4404
122;18.8584;0.05005;119.9;61.9393;0.32108;3.3261;2.2982;1.1006;-45.1875;5839.5928
123;18.8584;0.05005;119.9;61.9393;0.32108;3.3261;2.2982;1.1006;-45.1875;5839.7452
124;18.1248;0.03918;117.6;61.9297;0.34453;3.2987;2.2707;1.1045;-42.8438;5839.8976
125;18.1248;0.03918;117.6;61.9297;0.34453;3.2987;2.2707;1.1045;-42.8438;5840.05
126;18.1248;0.03918;117.6;61.9297;0.34453;3.2987;2.2707;1.1045;-42.8438;5840.2024
127;17.8751;0.03838;115.7;60.0073;0.33311;3.2479;2.2589;1.1143;-45.8125;5840.3548
128;17.8751;0.03838;115.7;60.0073;0.33311;3.2479;2.2589;1.1143;-45.8125;5840.5072
129;17.8751;0.03838;115.7;60.0073;0.33311;3.2479;2.2589;1.1143;-45.8125;5840.6596
130;18.0019;0.0355;119.3;60.1973;0.34888;3.168;2.2544;1.123;-45.5;5840.812
131;18.0019;0.0355;119.3;60.1973;0.34888;3.168;2.2544;1.123;-45.5;5840.9644
132;18.0019;0.0355;119.3;60.1973;0.34888;3.168;2.2544;1.123;-45.5;5841.1168
133;19.6113;0.02673;123.5;62.1934;0.32702;3.1661;2.2543;1.1279;-45.4375;5841.2692
134;19.6113;0.02673;123.5;62.1934;0.32702;3.1661;2.2543;1.1279;-45.4375;5841.4216
135;19.6113;0.02673;123.5;62.1934;0.32702;3.1661;2.2543;1.1279;-45.4375;5841.574
136;19.6113;0.02673;123.5;62.1934;0.32702;3.1661;2.2543;1.1279;-45.4375;5841.7264
137;21.4365;0.02189;128.4;61.1387;0.31865;3.1993;2.2576;1.124;-46.4688;5841.8788
138;21.4365;0.02189;128.4;61.1387;0.31865;3.1993;2.2576;1.124;-46.4688;5842.0312
139;21.4365;0.02189;128.4;61.1387;0.31865;3.1993;2.2576;1.124;-46.4688;5842.1836
140;20.1401;0.02069;121.9;60.7812;0.32451;3.2734;2.2741;1.1123;-46.25;5842.336
141;20.1401;0.02069;121.9;60.7812;0.32451;3.2734;2.2741;1.1123;-46.25;5842.4884
142;20.1401;0.02069;121.9;60.7812;0.32451;3.2734;2.2741;1.1123;-46.25;5842.6408
143;19.5615;0.01567;120.9;62.5615;0.31464;3.2637;2.2879;1.0947;-46.4688;5842.7932
144;19.5615;0.01567;120.9;62.5615;0.31464;3.2637;2.2879;1.0947;-46.4688;5842.9456
145;19.5615;0.01567;120.9;62.5615;0.31464;3.2637;2.2879;1.0947;-46.4688;5843.098
146;18.4053;0.0211;119;63.0922;0.33839;3.2887;2.3192;1.0762;-45.9375;5843.2504
147;18.4053;0.0211;119;63.0922;0.33839;3.2887;2.3192;1.0762;-45.9375;5843.4028
148;18.4053;0.0211;119;63.0922;0.33839;3.2887;2.3192;1.0762;-45.9375;5843.5552
149;18.4053;0.0211;119;63.0922;0.33839;3.2887;2.3192;1.0762;-45.9375;5843.7076
150;17.5159;0.02393;117.6;63.1348;0.34537;3.1543;2.3262;1.0654;-45.8125;5843.86
151;17.5159;0.02393;117.6;63.1348;0.34537;3.1543;2.3262;1.0654;-45.8125;5844.0124
152;17.5159;0.02393;117.6;63.1348;0.34537;3.1543;2.3262;1.0654;-45.8125;5844.1648
153;17.8442;0.01369;119.9;63.2794;0.38089;3.1777;2.3048;1.0596;-47.2188;5844.3172
154;17.8442;0.01369;119.9;63.2794;0.38089;3.1777;2.3048;1.0596;-47.2188;5844.4696
155;17.8442;0.01369;119.9;63.2794;0.38089;3.1777;2.3048;1.0596;-47.2188;5844.622
156;18.2964;0.01061;122.8;63.1924;0.38327;3.1526;2.2986;1.0498;-46.4688;5844.7744
157;18.2964;0.01061;122.8;63.1924;0.38327;3.1526;2.2986;1.0498;-46.4688;5844.9268
158;18.2964;0.01061;122.8;63.1924;0.38327;3.1526;2.2986;1.0498;-46.4688;5845.0792
159;18.2964;0.01061;122.8;63.1924;0.38327;3.1526;2.2986;1.0498;-46.4688;5845.2316
160;17.812;0.00681;137.3;64.0742;0.3984;3.2442;2.2923;1.0303;-45.875;5845.384
161;17.812;0.00681;137.3;64.0742;0.3984;3.2442;2.2923;1.0303;-45.875;5845.5364
162;17.812;0.00681;137.3;64.0742;0.3984;3.2442;2.2923;1.0303;-45.875;5845.6888
163;17.3589;0.00884;135.4;64.6543;0.39432;3.2501;2.296;0.9976;-46.5;5845.8412
164;17.3589;0.00884;135.4;64.6543;0.39432;3.2501;2.296;0.9976;-46.5;5845.9936
165;17.3589;0.00884;135.4;64.6543;0.39432;3.2501;2.296;0.9976;-46.5;5846.146
166;16.8301;0.00826;135;63.2295;0.39491;3.3164;2.2833;0.9619;-46.4688;5846.2984
167;16.8301;0.00826;135;63.2295;0.39491;3.3164;2.2833;0.9619;-46.4688;5846.4508
168;16.8301;0.00826;135;63.2295;0.39491;3.3164;2.2833;0.9619;-46.4688;5846.6032
169;18.4692;0.00908;135.6;64.3784;0.38153;3.2968;2.2773;0.9331;-45;5846.7556
170;18.4692;0.00908;135.6;64.3784;0.38153;3.2968;2.2773;0.9331;-45;5846.908
171;18.4692;0.00908;135.6;64.3784;0.38153;3.2968;2.2773;0.9331;-45;5847.0604
172;18.4692;0.00908;135.6;64.3784;0.38153;3.2968;2.2773;0.9331;-45;5847.2128
173;18.7502;0.01095;135.8;64.623;0.36436;3.2655;2.2741;0.915;-47.2812;5847.3652
174;18.7502;0.01095;135.8;64.623;0.36436;3.2655;2.2741;0.915;-47.2812;5847.5176
175;18.7502;0.01095;135.8;64.623;0.36436;3.2655;2.2741;0.915;-47.2812;5847.67
176;18.9375;0.0182;139;64.3398;0.34919;3.1876;2.2855;0.9062;-46.9375;5847.8224
177;18.9375;0.0182;139;64.3398;0.34919;3.1876;2.2855;0.9062;-46.9375;5847.9748
178;18.9375;0.0182;139;64.3398;0.34919;3.1876;2.2855;0.9062;-46.9375;5848.1272
179;20.5466;0.00978;146.5;64.7139;0.34799;3.2324;2.2779;0.8975;-48.125;5848.2796
180;20.5466;0.00978;146.5;64.7139;0.34799;3.2324;2.2779;0.8975;-48.125;5848.432
181;20.5466;0.00978;146.5;64.7139;0.34799;3.2324;2.2779;0.8975;-48.125;5848.5844
182;20.5466;0.00978;146.5;64.7139;0.34799;3.2324;2.2779;0.8975;-48.125;5848.7368
183;20.2207;0.0078;142.4;65.5879;0.37064;3.2287;2.2676;0.8848;-47.5625;5848.8892
184;20.2207;0.0078;142.4;65.5879;0.37064;3.2287;2.2676;0.8848;-47.5625;5849.0416
185;20.2207;0.0078;142.4;65.5879;0.37064;3.2287;2.2676;0.8848;-47.5625;5849.194
186;21.8435;0.00788;142.1;65.125;0.38391;3.3085;2.2677;0.8755;-48.5312;5849.3464
187;21.8435;0.00788;142.1;65.125;0.38391;3.3085;2.2677;0.8755;-48.5312;5849.4988
188;21.8435;0.00788;142.1;65.125;0.38391;3.3085;2.2677;0.8755;-48.5312;5849.6512
189;21.5154;0.00367;142.4;64.3389;0.40702;3.2344;2.2596;0.873;-48.9062;5849.8036
190;21.5154;0.00367;142.4;64.3389;0.40702;3.2344;2.2596;0.873;-48.9062;5849.956
191;21.5154;0.00367;142.4;64.3389;0.40702;3.2344;2.2596;0.873;-48.9062;5850.1084
192;21.313;0.00309;142.3;64.9475;0.39708;3.2285;2.2562;0.873;-47.1875;5850.2608
193;21.313;0.00309;142.3;64.9475;0.39708;3.2285;2.2562;0.873;-47.1875;5850.4132
194;21.313;0.00309;142.3;64.9475;0.39708;3.2285;2.2562;0.873;-47.1875;5850.5656
195;21.313;0.00309;142.3;64.9475;0.39708;3.2285;2.2562;0.873;-47.1875;5850.718
196;21.8595;0.00379;141.3;64.7315;0.38181;3.1388;2.2575;0.875;-50.4375;5850.8704
197;21.8595;0.00379;141.3;64.7315;0.38181;3.1388;2.2575;0.875;-50.4375;5851.0228
198;21.8595;0.00379;141.3;64.7315;0.38181;3.1388;2.2575;0.875;-50.4375;5851.1752
199;21.9839;0.00605;145.3;65.123;0.34903;3.1874;2.2537;0.8794;-50.7188;5851.3276
200;21.9839;0.00605;145.3;65.123;0.34903;3.1874;2.2537;0.8794;-50.7188;5851.48
201;21.9839;0.00605;145.3;65.123;0.34903;3.1874;2.2537;0.8794;-50.7188;5851.6324
202;21.5147;0.00553;142.2;66.541;0.35073;3.129;2.2452;0.8867;-49.0625;5851.7848
203;21.5147;0.00553;142.2;66.541;0.35073;3.129;2.2452;0.8867;-49.0625;5851.9372
204;21.5147;0.00553;142.2;66.541;0.35073;3.129;2.2452;0.8867;-49.0625;5852.0896
205;21.5147;0.00553;142.2;66.541;0.35073;3.129;2.2452;0.8867;-49.0625;5852.242
206;20.3751;0.00743;142.5;66.3513;0.35439;3.1816;2.2368;0.8931;-45.5312;5852.3944
207;20.3751;0.00743;142.5;66.3513;0.35439;3.1816;2.2368;0.8931;-45.5312;5852.5468
208;20.3751;0.00743;142.5;66.3513;0.35439;3.1816;2.2368;0.8931;-45.5312;5852.6992
209;20.4839;0.01208;142.4;66.0625;0.3754;3.1739;2.2464;0.8979;-45.5625;5852.8516
210;20.4839;0.01208;142.4;66.0625;0.3754;3.1739;2.2464;0.8979;-45.5625;5853.004
211;20.4839;0.01208;142.4;66.0625;0.3754;3.1739;2.2464;0.8979;-45.5625;5853.1564
212;19.8752;0.0213;142.1;66.332;0.38555;3.2167;2.2685;0.9033;-45.7188;5853.3088
213;19.8752;0.0213;142.1;66.332;0.38555;3.2167;2.2685;0.9033;-45.7188;5853.4612
214;19.8752;0.0213;142.1;66.332;0.38555;3.2167;2.2685;0.9033;-45.7188;5853.6136
215;20.1096;0.02131;141.9;64.1685;0.3815;3.1798;2.2796;0.9116;-45.3438;5853.766
216;20.1096;0.02131;141.9;64.1685;0.3815;3.1798;2.2796;0.9116;-45.3438;5853.9184
217;20.1096;0.02131;141.9;64.1685;0.3815;3.1798;2.2796;0.9116;-45.3438;5854.0708
218;20.1096;0.02131;141.9;64.1685;0.3815;3.1798;2.2796;0.9116;-45.3438;5854.2232
219;20.2959;0.02242;142.6;64.8457;0.35446;3.2482;2.2865;0.919;-45.1562;5854.3756
220;20.2959;0.02242;142.6;64.8457;0.35446;3.2482;2.2865;0.919;-45.1562;5854.528
221;20.2959;0.02242;142.6;64.8457;0.35446;3.2482;2.2865;0.919;-45.1562;5854.6804
222;19.1572;0.01413;140.1;65.9658;0.34203;3.2989;2.2895;0.9224;-43.9062;5854.8328
