,Unnamed: 0,GR,NPHI,RHOB,DEPT,RM,RT,FACIES,idx,zone,color,grmax,grmin,rhoma,rhofl,phish,VSHALE,PHID,PHIT,PHIE
153,153,106.9542,,,153,,,,153,0,black,100,20,2.65,1.1,0.4,1.0869275,,,
154,154,97.65944,,,154,,,,154,0,black,100,20,2.65,1.1,0.4,0.970743,,,
155,155,112.0007375,,,155,,,,155,0,black,100,20,2.65,1.1,0.4,1.15000921875,,,
156,156,108.7432625,,,156,,,,156,0,black,100,20,2.65,1.1,0.4,1.10929078125,,,
157,157,114.1873625,,,157,,,,157,0,black,100,20,2.65,1.1,0.4,1.17734203125,,,
158,158,113.685925,,,158,,,,158,0,black,100,20,2.65,1.1,0.4,1.1710740625,,,
159,159,108.698425,,,159,,,,159,0,black,100,20,2.65,1.1,0.4,1.1087303125,,,
160,160,115.6901625,,,160,,,,160,0,black,100,20,2.65,1.1,0.4,1.19612703125,,,
161,161,106.60501250000002,,,161,,,,161,0,black,100,20,2.65,1.1,0.4,1.0825626562500001,,,
162,162,96.58398875,,,162,,,,162,0,black,100,20,2.65,1.1,0.4,0.9572998593750001,,,
163,163,94.15681375,,,163,,,,163,0,black,100,20,2.65,1.1,0.4,0.926960171875,,,
164,164,98.57299375,,,164,,,,164,0,black,100,20,2.65,1.1,0.4,0.9821624218749999,,,
165,165,99.43453875,,,165,,,,165,0,black,100,20,2.65,1.1,0.4,0.992931734375,,,
166,166,101.7092125,,,166,,,,166,0,black,100,20,2.65,1.1,0.4,1.0213651562500001,,,
167,167,106.259625,,,167,,,,167,0,black,100,20,2.65,1.1,0.4,1.0782453125,,,
168,168,97.7712525,,,168,,,,168,0,black,100,20,2.65,1.1,0.4,0.97214065625,,,
169,169,107.6118625,,,169,,,,169,0,black,100,20,2.65,1.1,0.4,1.09514828125,,,
170,170,104.2504875,,,170,,,,170,0,black,100,20,2.65,1.1,0.4,1.05313109375,,,
171,171,110.99721250000002,,,171,,,,171,0,black,100,20,2.65,1.1,0.4,1.1374651562500002,,,
172,172,106.7030375,,,172,,,,172,0,black,100,20,2.65,1.1,0.4,1.0837879687499998,,,
173,173,103.0320875,,,173,,,,173,0,black,100,20,2.65,1.1,0.4,1.03790109375,,,
174,174,98.4279675,,,174,,,,174,0,black,100,20,2.65,1.1,0.4,0.98034959375,,,
175,175,103.49865,,,175,,,,175,0,black,100,20,2.65,1.1,0.4,1.043733125,,,
176,176,96.36259,,,176,,,,176,0,black,100,20,2.65,1.1,0.4,0.954532375,,,
177,177,104.108725,,,177,,,,177,0,black,100,20,2.65,1.1,0.4,1.0513590625,,,
178,178,106.3172375,,,178,,,,178,0,black,100,20,2.65,1.1,0.4,1.07896546875,,,
179,179,99.75767125000002,,,179,,,,179,0,black,100,20,2.65,1.1,0.4,0.9969708906250002,,,
180,180,103.5723375,,,180,,,,180,0,black,100,20,2.65,1.1,0.4,1.04465421875,,,
181,181,111.23075,,,181,,,,181,0,black,100,20,2.65,1.1,0.4,1.140384375,,,
182,182,119.0549875,,,182,,,,182,0,black,100,20,2.65,1.1,0.4,1.23818734375,,,
183,183,108.3145875,,,183,,,,183,0,black,100,20,2.65,1.1,0.4,1.10393234375,,,
184,184,113.30716249999998,,,184,,,,184,0,black,100,20,2.65,1.1,0.4,1.1663395312499998,,,
185,185,111.8066625,,,185,,,,185,0,black,100,20,2.65,1.1,0.4,1.14758328125,,,
186,186,107.4073375,,,186,,,,186,0,black,100,20,2.65,1.1,0.4,1.09259171875,,,
187,187,109.069775,,,187,,,,187,0,black,100,20,2.65,1.1,0.4,1.1133721875,,,
188,188,117.9649625,,,188,,,,188,0,black,100,20,2.65,1.1,0.4,1.22456203125,,,
189,189,114.2414875,,,189,,,,189,0,black,100,20,2.65,1.1,0.4,1.17801859375,,,
190,190,113.4568375,,,190,,,,190,0,black,100,20,2.65,1.1,0.4,1.1682104687500001,,,
191,191,123.263425,,,191,,,,191,0,black,100,20,2.65,1.1,0.4,1.2907928124999999,,,
192,192,127.7746875,,,192,,,,192,0,black,100,20,2.65,1.1,0.4,1.34718359375,,,
193,193,112.8315125,,,193,,,,193,0,black,100,20,2.65,1.1,0.4,1.16039390625,,,
194,194,109.337525,,,194,,,,194,0,black,100,20,2.65,1.1,0.4,1.1167190625,,,
195,195,107.287475,,,195,,,,195,0,black,100,20,2.65,1.1,0.4,1.0910934375,,,
